"source","file","name_ncsa","name_rfars","label","Definition","Additional Information","value","value_label","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","1","Alabama","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","2","Alaska","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","4","Arizona","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","5","Arkansas","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","6","California","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","8","Colorado","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","9","Connecticut","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","10","Delaware","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","11","District of Columbia","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","12","Florida","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","13","Georgia","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","15","Hawaii","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","16","Idaho","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","17","Illinois","1","1","1","1","1","1","1","1","1","1"
"FARS","accident","STATE","state","State Number",NA,"GSA State data elements except for 43, Puerto Rico. The State in which the vehicle is registered, REG_STAT, is found in the Vehicle data file; the coding is the same.","18","Indiana","1","1","1","1","1","1","1","1","1","1"
